source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
TLN_12.19_500call2026-08-21.txt,2025-12-20,04:56:21,TLN,ASK,500,call,2026-08-21,245d,$372.01,$23.70 - $27.50,$26.40,200,$528K,200,0,-,100%,"6,342",52.04,0.3171,-0.116,0.0022,1.0857,0.6146,26.40,Utilities,Utilities - Independent Power Producers,69,Floor Trade Large Cap,500 call 2026-08-21
TLN_12.19_500call2026-08-21.txt,2025-12-20,04:41:16,TLN,BID,440,call,2026-03-20,91d,$375.09,$16.50 - $18.40,$16.70,40,$67K,42,8,5.25,95%,"1,238",51.03,0.3096,-0.1857,0.0037,0.6604,0.2479,16.70,Utilities,Utilities - Independent Power Producers,69,,440 call 2026-03-20
TLN_12.19_500call2026-08-21.txt,2025-12-20,04:37:24,TLN,BID,320,put,2026-01-02,14d,$376.56,$0.00 - $4.80,$2.00,500,$100K,700,4,175.00,100%,"-4,356",64.15,-0.0871,-0.2677,0.0034,0.1169,-0.0133,2.00,Utilities,Utilities - Independent Power Producers,69,,320 put 2026-01-02
TLN_12.19_500call2026-08-21.txt,2025-12-20,01:37:11,TLN,BID,370,call,2026-12-18,364d,$371.21,$82.50 - $87.30,$82.50,"4,250",$35.1M,"4,657",15,310.47,93%,"260,991",55.91,0.6141,-0.11,0.0018,1.418,1.4506,82.50,Utilities,Utilities - Independent Power Producers,69,Sweeps Followed By Floor,370 call 2026-12-18
TLN_12.19_500call2026-08-21.txt,2025-12-20,01:37:11,TLN,BID,370,put,2026-12-18,364d,$371.21,$68.50 - $72.90,$68.65,"3,500",$24M,"3,604",3,"1,201.33",97%,"-140,290",47.77,-0.4008,-0.0924,0.0022,1.433,-2.1685,68.65,Utilities,Utilities - Independent Power Producers,69,Sweeps Followed By Floor,370 put 2026-12-18
TLN_12.19_500call2026-08-21.txt,2025-12-19,01:21:41,TLN,ASK,400,call,2026-05-15,147d,$373.81,$42.50 - $43.00,$43.00,34,$146K,35,11,3.18,100%,"1,690",56.26,0.497,-0.1813,0.003,0.9496,0.579,43.00,Utilities,Utilities - Independent Power Producers,69,Repeated Hits,400 call 2026-05-15
TLN_12.19_500call2026-08-21.txt,2025-12-19,00:38:07,TLN,BID,425,put,2026-01-09,21d,$373.28,$52.60 - $56.70,$54.64,32,$175K,32,0,-,100%,"-2,747",46.74,-0.8583,-0.2172,0.0052,0.2056,-0.226,54.64,Utilities,Utilities - Independent Power Producers,69,,425 put 2026-01-09
TLN_12.19_500call2026-08-21.txt,2025-12-18,23:21:50,TLN,BID,390,put,2026-03-20,91d,$370.56,$49.00 - $53.00,$50.00,10,$50K,10,9,1.11,100%,-525,52.22,-0.5247,-0.2088,0.0041,0.7408,-0.6161,50.00,Utilities,Utilities - Independent Power Producers,69,,390 put 2026-03-20
TLN_12.19_500call2026-08-21.txt,2025-12-18,03:54:56,TLN,BID,600,put,2028-01-21,763d,$355.97,$263.30 - $267.50,$264.84,2,$53K,2,0,-,100%,-148,38.69,-0.7394,-0.0383,0.0016,1.6736,-11.0671,264.84,Utilities,Utilities - Independent Power Producers,69,,600 put 2028-01-21
TLN_12.19_500call2026-08-21.txt,2025-12-18,00:48:48,TLN,ASK,475,put,2025-12-26,7d,$358.01,$114.50 - $117.40,$117.40,3,$35K,3,0,-,100%,-293,87.77,-0.9763,-0.1517,0.0011,0.0314,-0.1151,117.40,Utilities,Utilities - Independent Power Producers,69,,475 put 2025-12-26
TLN_12.19_500call2026-08-21.txt,2025-12-18,00:48:48,TLN,ASK,465,put,2026-01-02,14d,$358.01,$104.50 - $107.40,$107.40,3,$32K,3,0,-,100%,-292,61.94,-0.9745,-0.0847,0.0013,0.0446,-0.20,107.40,Utilities,Utilities - Independent Power Producers,69,,465 put 2026-01-02
TLN_12.19_500call2026-08-21.txt,2025-12-17,04:58:15,TLN,ASK,395,call,2025-12-26,7d,$376.54,$7.50 - $9.70,$8.90,96,$85K,148,12,12.33,90%,"3,337",64.86,0.3476,-0.7471,0.0091,0.2303,0.0334,8.90,Utilities,Utilities - Independent Power Producers,69,,395 call 2025-12-26
TLN_12.19_500call2026-08-21.txt,2025-12-17,04:58:15,TLN,ASK,395,call,2025-12-26,7d,$376.54,$7.50 - $9.70,$8.83,34,$30K,50,12,4.17,70%,"1,179",64.55,0.3467,-0.7429,0.0092,0.2301,0.0333,8.83,Utilities,Utilities - Independent Power Producers,69,,395 call 2025-12-26
TLN_12.19_500call2026-08-21.txt,2025-12-17,03:49:15,TLN,ASK,410,call,2026-02-20,63d,$375.48,$21.10 - $22.00,$22.00,33,$73K,34,31,1.10,100%,"1,317",55.18,0.399,-0.2584,0.0044,0.6164,0.2311,22.00,Utilities,Utilities - Independent Power Producers,69,,410 call 2026-02-20
TLN_12.19_500call2026-08-21.txt,2025-12-16,22:40:08,TLN,BID,450,call,2027-06-17,545d,$372.82,$77.00 - $79.20,$77.00,100,$770K,100,62,1.61,100%,"5,315",56.37,0.5315,-0.0944,0.0015,1.8168,1.819,77.00,Utilities,Utilities - Independent Power Producers,69,,450 call 2027-06-17
