source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
BURL_12.19_280call2026-01-02.txt,2025-12-20,03:55:37,BURL,ASK,280,call,2026-01-02,14d,$279.50,$5.80 - $6.70,$6.46,477,$308K,498,348,1.43,100%,"23,870",30.66,0.5004,-0.2396,0.0238,0.2184,0.0512,6.46,Consumer Cyclical,Apparel Retail,76,Repeated Hits Ascending Fill,280 call 2026-01-02
BURL_12.19_280call2026-01-02.txt,2025-12-20,03:16:02,BURL,BID,277.5,put,2025-12-26,7d,$278.62,$3.30 - $4.50,$3.88,994,$386K,"1,000",1,"1,000.00",100%,"-44,907",28.76,-0.4518,-0.3135,0.0357,0.1528,-0.0249,3.88,Consumer Cyclical,Apparel Retail,76,,277.5 put 2025-12-26
BURL_12.19_280call2026-01-02.txt,2025-12-17,04:12:52,BURL,BID,230,put,2026-01-30,42d,$262.43,$1.90 - $3.50,$2.25,"2,916",$656K,"3,645",0,-,100%,"-37,978",35.40,-0.1302,-0.0766,0.0065,0.1952,-0.0449,2.25,Consumer Cyclical,Apparel Retail,76,Low Historic Volume Floor,230 put 2026-01-30
BURL_12.19_280call2026-01-02.txt,2025-12-17,04:12:52,BURL,BID,230,put,2026-01-30,42d,$262.43,$1.90 - $3.50,$2.30,729,$168K,729,0,-,100%,"-9,605",35.66,-0.1318,-0.0778,0.0065,0.1968,-0.0455,2.30,Consumer Cyclical,Apparel Retail,76,Low Historic Volume Floor,230 put 2026-01-30
BURL_12.19_280call2026-01-02.txt,2025-12-13,00:05:53,BURL,BID,260,call,2026-09-18,273d,$267.57,$43.50 - $46.60,$45.00,10,$45K,10,4,2.50,100%,608,44.61,0.6081,-0.0726,0.0037,0.9004,0.9029,45.00,Consumer Cyclical,Apparel Retail,76,,260 call 2026-09-18
