time_key,分时_MA3,分时_MA5,VWAP,分时趋势结构,上下影线结构,分时量能趋势,成交金额趋势,涨跌幅强度,现价,换手率,昨收,成交量,成交额,昨日最高,昨日最低,反抽次数,OPEN强度,高点结构,早盘低点,托单压单,买一量,卖一量,score
2025-12-09 09:51:00,24.46,24.52,24.433,震荡,长下影(承接),平量,流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 09:52:00,24.343,24.428,24.431,下降,大实体,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 09:53:00,24.293,24.358,24.427,下降,正常,平量,流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 09:54:00,24.197,24.304,24.425,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 09:55:00,24.323,24.308,24.423,下降,大实体,平量(无量上冲),流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 09:56:00,24.377,24.308,24.424,弱上升,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 09:57:00,24.56,24.434,24.426,强上升,正常,平量(无量上冲),流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 09:58:00,24.567,24.472,24.429,强上升,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 09:59:00,24.583,24.54,24.43,强上升,长上影(抛压),平量(无量上冲),流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:00:00,24.463,24.518,24.43,强上升,正常,缩量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:01:00,24.4,24.486,24.429,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:02:00,24.313,24.392,24.428,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:03:00,24.273,24.342,24.426,下降,长下影(承接),平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:04:00,24.27,24.298,24.425,下降,正常,平量,流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:05:00,24.25,24.264,24.425,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:06:00,24.22,24.234,24.423,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:07:00,24.107,24.174,24.418,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:08:00,24.097,24.158,24.412,下降,正常,平量,流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:09:00,24.07,24.114,24.41,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:10:00,24.06,24.06,24.407,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:11:00,24.013,24.034,24.403,下降,正常,平量,流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:12:00,24.0,24.05,24.401,震荡,长上影(抛压),平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:13:00,24.073,24.046,24.399,弱上升,正常,平量(无量上冲),流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:14:00,24.117,24.062,24.398,弱上升,长上影(抛压),平量(无量上冲),流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:15:00,24.077,24.06,24.395,弱上升,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:16:00,23.983,24.028,24.392,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:17:00,23.887,23.994,24.388,下降,正常,平量,流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:18:00,23.873,23.94,24.385,下降,正常,平量(无量上冲),流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:19:00,23.88,23.886,24.384,下降,长上影(抛压),平量(无量上冲),流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:20:00,23.863,23.866,24.381,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:21:00,23.833,23.85,24.375,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:22:00,23.827,23.85,24.369,震荡,正常,平量,流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:23:00,23.857,23.856,24.368,弱上升,正常,缩量(无量上冲),流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:24:00,23.86,23.838,24.366,震荡,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:25:00,23.823,23.826,24.364,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:26:00,23.723,23.79,24.357,下降,正常,平量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:27:00,23.7,23.762,24.35,下降,正常,平量,流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:28:00,23.707,23.736,24.347,下降,正常,平量(无量上冲),流入,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
2025-12-09 10:29:00,23.737,23.716,24.346,下降,正常,缩量,流出,3.94%,24.27,23.012,23.35,183678134,446420.42,23.35,22.76,0,极强(1.18%),正常,18.11,均衡 (委比:0.91),257300,300200,60.0
