source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
PTON_01.06_10call2027-01-15.txt,2026-01-06,03:05:47,PTON,ASK,6,call,2026-04-17,101d,$6.34,$1.00 - $1.05,$1.04,"2,489",$259K,"2,528",398,6.35,100%,"157,025",66.26,0.6309,-0.0041,0.1699,0.0126,0.0083,1.04,Consumer Cyclical,Travel & Leisure,30,,6 call 2026-04-17
PTON_01.06_10call2027-01-15.txt,2026-01-06,00:40:54,PTON,ASK,10,call,2027-01-15,374d,$6.32,$0.73 - $0.89,$0.82,"23,500",$1.93M,"25,025","14,436",1.73,100%,"889,795",68.61,0.3786,-0.0022,0.0866,0.0243,0.0161,0.82,Consumer Cyclical,Travel & Leisure,30,Low Historic Volume Floor,10 call 2027-01-15
PTON_01.06_10call2027-01-15.txt,2025-12-30,03:20:41,PTON,ASK,7,put,2026-02-06,31d,$6.18,$0.96 - $1.10,$1.05,480,$50K,800,0,-,60%,"-33,070",63.73,-0.689,-0.0058,0.2744,0.0071,-0.0057,1.05,Consumer Cyclical,Travel & Leisure,30,,7 put 2026-02-06
PTON_01.06_10call2027-01-15.txt,2025-12-27,00:35:26,PTON,BID,7,put,2026-01-30,24d,$6.15,$0.89 - $1.38,$1.12,800,$90K,800,31,25.81,100%,"-53,973",74.03,-0.6747,-0.0072,0.2556,0.0069,-0.005,1.12,Consumer Cyclical,Travel & Leisure,30,,7 put 2026-01-30
