source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
FRMI_01.06_15call2026-08-21.txt,2026-01-06,04:19:34,FRMI,ASK,15,call,2026-08-21,227d,$8.68,$1.90 - $2.40,$2.20,"2,000",$440K,"2,005",27,74.26,100%,"101,795",135.01,0.509,-0.0081,0.0431,0.0274,0.0139,2.20,Real Estate,REIT - Mortgage,34,Floor Trade Mid Cap,15 call 2026-08-21
FRMI_01.06_15call2026-08-21.txt,2026-01-03,00:08:00,FRMI,BID,10,put,2026-02-20,45d,$9.02,$2.75 - $2.90,$2.75,"3,333",$917K,"3,334",831,4.01,100%,"-149,979",162.77,-0.45,-0.0217,0.0736,0.0131,-0.0091,2.75,Real Estate,REIT - Mortgage,34,,10 put 2026-02-20
FRMI_01.06_15call2026-08-21.txt,2026-01-02,22:40:12,FRMI,ASK,10,call,2026-05-15,129d,$8.37,$1.55 - $2.90,$2.69,"2,000",$538K,"2,000","1,691",1.18,100%,"124,261",162.27,0.6213,-0.0117,0.0464,0.0192,0.0091,2.69,Real Estate,REIT - Mortgage,34,,10 call 2026-05-15
FRMI_01.06_15call2026-08-21.txt,2026-01-02,22:40:12,FRMI,ASK,15,call,2026-05-15,129d,$8.37,$0.95 - $1.70,$1.70,"2,000",$340K,"2,000","1,448",1.38,100%,"90,282",159.74,0.4514,-0.012,0.0491,0.02,0.0076,1.70,Real Estate,REIT - Mortgage,34,,15 call 2026-05-15
FRMI_01.06_15call2026-08-21.txt,2025-12-30,01:07:11,FRMI,ASK,5,call,2026-12-18,346d,$7.39,$3.50 - $4.00,$4.00,89,$36K,93,24,3.88,96%,"7,295",115.25,0.8197,-0.0031,0.0313,0.0191,0.02,4.00,Real Estate,REIT - Mortgage,34,,5 call 2026-12-18
